"2 digit code","Description","Default rate (%)"
"21","Mining, quarrying, and oil and gas extraction","8"
"11","Agriculture, forestry, fishing and hunting","9"
"55","Management of companies and enterprises","10"
"62","Health care and social assistance","10"
"22","Utilities","14"
"92","Public administration","15"
"54","Professional, scientific, and technical services","19"
"42","Wholesale trade","19"
"31–33","Manufacturing","19, 16, 14"
"81","Other services (except public administration)","20"
"71","Arts, entertainment, and recreation","21"
"72","Accommodation and food services","22"
"44–45","Retail trade","22, 23"
"23","Construction","23"
"56","Administrative/support & waste management/remediation Service","24"
"61","Educational services","24"
"51","Information","25"
"48–49","Transportation and warehousing","27, 23"
"52","Finance and insurance","28"
"53","Real estate and rental and leasing","29"
